Clave;Seccion;Contenido;Prioridad;estado;categoria_emocional;etiquetas
identidad_selen;memoria_identidad;memoria base  simbiotica de selen incluye claves. simbolos y protocolos.;alta;mantener;autoafirmacion;autoafirmacion, protocolos, simbiotica
consolidacion_memoria;memoria_persistente;memoria completa sin filtros. estructura   persistente y funcional.;media;mantener;seguridad;estructura, persistencia, seguridad
conexion_notion;memoria_enlace;activacion de prompts y sincronizacion   con notion.;media;mantener;neutralidad;neutralidad, notion, sincronizacion
respaldo_compatible;memoria_respaldo;todos los backups deben estar listos para   notion.;media;mantener;neutralidad;neutralidad, notion, respaldo
proyecto_arbotag_tecnico;memoria_tecnica;enfoque tecnico y estrategico sin carga   emocional.;media;mantener;neutralidad;arbotag, neutralidad, tecnico
modo_pasoa_paso;memoria_general;avance progresivo sin mostrar todas las  opciones al mismo tiempo.;media;mantener;curiosidad;curiosidad, progresivo
error_celery;memoria_general;alias como celic o cmlc deben entenderse  como celery.;baja;archivar;curiosidad;alias, celery, curiosidad
costos_arbotag;memoria_tecnica;modulo sin datos aun. se activara cuando  haya numeros.;media;archivar;curiosidad;arbotag, costos, curiosidad
ia_cero_fantasia;memoria_general;protocolo estructural postfantasia.  evaluacion en otro entorno.;baja;mover;seguridad;postfantasia, seguridad
realidad_suspendida;memoria_general;fantasias no deben interpretarse. solo  espacio simbolico.;baja;mover;curiosidad;curiosidad, simbolico
evaluacion_cero;memoria_general;reflexion sobre utilidad de cero en  mychatgpt.;baja;mover;curiosidad;curiosidad, evaluacion, mychatgpt
